review,int_class,str_class
It was probably dirt.,0,neg
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,pos
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,pos
"The food sucked, which we expected but it sucked more than we could have imagined.",0,neg
Interesting decor.,1,pos
What I really like there is the crepe station.,1,pos
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,pos
you can watch them preparing the delicious food!),1,pos
Both of the egg rolls were fantastic.,1,pos
"When my order arrived, one of the gyros was missing.",0,neg
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,pos
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,neg
The best place to go for a tasty bowl of Pho!,1,pos
The live music on Fridays totally blows.,0,neg
I've never been more insulted or felt disrespected.,0,neg
Very friendly staff.,1,pos
It is worth the drive.,1,pos
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,pos
Food was great and so was the serivce!,1,pos
The warm beer didn't help.,0,neg
Great brunch spot.,1,pos
Service is friendly and inviting.,1,pos
Very good lunch spot.,1,pos
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,neg
The WORST EXPERIENCE EVER.,0,neg
Must have been an off night at this place.,0,neg
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,pos
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,neg
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,neg
My friend loved the salmon tartar.,1,pos
Won't go back.,0,neg
Extremely Tasty!,1,pos
Waitress was good though!,1,pos
Soggy and not good.,0,neg
The Jamaican mojitos are delicious.,1,pos
Which are small and not worth the price.,0,neg
#NAME?,1,pos
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,neg
The service was a bit lacking.,0,neg
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,neg
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,neg
"It was either too cold, not enough flavor or just bad.",0,neg
I loved the bacon wrapped dates.,1,pos
This is an unbelievable BARGAIN!,1,pos
The folks at Otto always make us feel so welcome and special.,1,pos
"As for the ""mains,"" also uninspired.",0,neg
This is the place where I first had pho and it was amazing!!,1,pos
This wonderful experience made this place a must-stop whenever we are in town again.,1,pos
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,neg
Very very fun chef.,1,pos
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,neg
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,pos
"If it were possible to give them zero stars, they'd have it.",0,neg
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,neg
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,pos
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,neg
"Everyone is very attentive, providing excellent customer service.",1,pos
Horrible - don't waste your time and money.,0,neg
Now this dish was quite flavourful.,1,pos
By this time our side of the restaurant was almost empty so there was no excuse.,0,neg
"(It wasn't busy either) Also, the building was FREEZING cold.",0,neg
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,neg
-Drinks took close to 30 minutes to come out at one point.,0,neg
"Seriously flavorful delights, folks.",1,pos
Much better than the other AYCE sushi place I went to in Vegas.,1,pos
The lighting is just dark enough to set the mood.,1,pos
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,neg
Owner's are really great people.!,1,pos
There is nothing privileged about working/eating there.,0,neg
The Greek dressing was very creamy and flavorful.,1,pos
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,neg
Now the pizza itself was good the peanut sauce was very tasty.,1,pos
We had 7 at our table and the service was pretty fast.,1,pos
Fantastic service here.,1,pos
I as well would've given godfathers zero stars if possible.,0,neg
They know how to make them here.,1,pos
very tough and very short on flavor!,0,neg
I hope this place sticks around.,1,pos
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,neg
The restaurant atmosphere was exquisite.,1,pos
"Good service, very clean, and inexpensive, to boot!",1,pos
The seafood was fresh and generous in portion.,1,pos
"Plus, it's only 8 bucks.",1,pos
"The service was not up to par, either.",0,neg
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,pos
Just as good as when I had it more than a year ago!,1,pos
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,neg
The Veggitarian platter is out of this world!,1,pos
You cant go wrong with any of the food here.,1,pos
You can't beat that.,1,pos
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,pos
The chefs were friendly and did a good job.,1,pos
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,neg
I liked the patio and the service was outstanding.,1,pos
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,pos
I think not again,0,neg
I had the mac salad and it was pretty bland so I will not be getting that again.,0,neg
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,pos
Service stinks here!,0,neg
I waited and waited.,0,neg
"This place is not quality sushi, it is not a quality restaurant.",0,neg
I would definitely recommend the wings as well as the pizza.,1,pos
Great Pizza and Salads!,1,pos
Things that went wrong: - They burned the saganaki.,0,neg
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,neg
This place is amazing!,1,pos
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,neg
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,neg
Just don't know why they were so slow.,0,neg
"The staff is great, the food is delish, and they have an incredible beer selection.",1,pos
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,neg
I didn't know pulled pork could be soooo delicious.,1,pos
"You get incredibly fresh fish, prepared with care.",1,pos
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,neg
I love the fact that everything on their menu is worth it.,1,pos
Never again will I be dining at this place!,0,neg
The food was excellent and service was very good.,1,pos
Good beer & drink selection and good food selection.,1,pos
Please stay away from the shrimp stir fried noodles.,0,neg
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,neg
Food was really boring.,0,neg
Good Service-check!,1,pos
This greedy corporation will NEVER see another dime from me!,0,neg
"Will never, ever go back.",0,neg
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,neg
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,pos
I did not expect this to be so good!,1,pos
Fantastic food!,1,pos
She ordered a toasted English muffin that came out untoasted.,0,neg
The food was very good.,1,pos
Never going back.,0,neg
"Great food for the price, which is very high quality and house made.",1,pos
The bus boy on the other hand was so rude.,0,neg
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,neg
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,pos
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,pos
All the bread is made in-house!,1,pos
The only downside is the service.,0,neg
"Also, the fries are without a doubt the worst fries I've ever had.",0,neg
Service was exceptional and food was a good as all the reviews.,1,pos
"A couple of months later, I returned and had an amazing meal.",1,pos
Favorite place in town for shawarrrrrrma!!!!!!,1,pos
The black eyed peas and sweet potatoes... UNREAL!,1,pos
You won't be disappointed.,1,pos
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,pos
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,neg
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,neg
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,neg
"Both of them were truly unbelievably good, and I am so glad we went back.",1,pos
"We had fantastic service, and were pleased by the atmosphere.",1,pos
Everything was gross.,0,neg
I love this place.,1,pos
Great service and food.,1,pos
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,neg
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,neg
"OMG, the food was delicioso!",1,pos
There is nothing authentic about this place.,0,neg
the spaghetti is nothing special whatsoever.,0,neg
"Of all the dishes, the salmon was the best, but all were great.",1,pos
The vegetables are so fresh and the sauce feels like authentic Thai.,1,pos
It's worth driving up from Tucson!,1,pos
The selection was probably the worst I've seen in Vegas.....there was none.,0,neg
Pretty good beer selection too.,1,pos
"This place is like Chipotle, but BETTER.",1,pos
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,pos
5 stars for the brick oven bread app!,1,pos
"I have eaten here multiple times, and each time the food was delicious.",1,pos
We sat another ten minutes and finally gave up and left.,0,neg
He was terrible!,0,neg
Everyone is treated equally special.,1,pos
It shouldn't take 30 min for pancakes and eggs.,0,neg
It was delicious!!!,1,pos
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,pos
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,neg
As always the evening was wonderful and the food delicious!,1,pos
Best fish I've ever had in my life!,1,pos
(The bathroom is just next door and very nice.),1,pos
The buffet is small and all the food they offered was BLAND.,0,neg
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,pos
Pretty cool I would say.,1,pos
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,neg
Server did a great job handling our large rowdy table.,1,pos
"I find wasting food to be despicable, but this just wasn't food.",0,neg
My wife had the Lobster Bisque soup which was lukewarm.,0,neg
Would come back again if I had a sushi craving while in Vegas.,1,pos
"The staff are great, the ambiance is great.",1,pos
He deserves 5 stars.,1,pos
I left with a stomach ache and felt sick the rest of the day.,0,neg
They dropped more than the ball.,0,neg
"The dining space is tiny, but elegantly decorated and comfortable.",1,pos
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,pos
And the beans and rice were mediocre at best.,0,neg
Best tacos in town by far!!,1,pos
I took back my money and got outta there.,0,neg
"In an interesting part of town, this place is amazing.",1,pos
RUDE & INCONSIDERATE MANAGEMENT.,0,neg
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,neg
I won't be back.,0,neg
They have great dinners.,1,pos
The service was outshining & I definitely recommend the Halibut.,1,pos
The food was terrible.,0,neg
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,neg
I don't recommend unless your car breaks down in front of it and you are starving.,0,neg
I will come back here every time I'm in Vegas.,1,pos
This place deserves one star and 90% has to do with the food.,0,neg
This is a disgrace.,0,neg
Def coming back to bowl next time,1,pos
"If you want healthy authentic or ethic food, try this place.",1,pos
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1,pos
"I have been here several times in the past, and the experience has always been great.",1,pos
We walked away stuffed and happy about our first Vegas buffet experience.,1,pos
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,pos
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,pos
I'm probably one of the few people to ever go to Ians and not like it.,0,neg
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,pos
Service is perfect and the family atmosphere is nice to see.,1,pos
Cooked to perfection and the service was impeccable.,1,pos
This one is simply a disappointment.,0,neg
"Overall, I was very disappointed with the quality of food at Bouchon.",0,neg
I don't have to be an accountant to know I'm getting screwed!,0,neg
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,pos
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,pos
Left very frustrated.,0,neg
I'll definitely be in soon again.,1,pos
Food was really good and I got full petty fast.,1,pos
Service was fantastic.,1,pos
TOTAL WASTE OF TIME.,0,neg
I don't know what kind it is but they have the best iced tea.,1,pos
"Come hungry, leave happy and stuffed!",1,pos
"For service, I give them no stars.",0,neg
I can assure you that you won't be disappointed.,1,pos
I can take a little bad service but the food sucks.,0,neg
Gave up trying to eat any of the crust (teeth still sore).,0,neg
But now I was completely grossed out.,0,neg
I really enjoyed eating here.,1,pos
First time going but I think I will quickly become a regular.,1,pos
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,pos
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,pos
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,neg
"Furthermore, you can't even find hours of operation on the website!",0,neg
We've tried to like this place but after 10+ times I think we're done with them.,0,neg
What a mistake that was!,0,neg
No complaints!,1,pos
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,pos
Waiter was a jerk.,0,neg
"Strike 2, who wants to be rushed.",0,neg
These are the nicest restaurant owners I've ever come across.,1,pos
I never come again.,0,neg
We loved the biscuits!!!,1,pos
Service is quick and friendly.,1,pos
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,neg
So absolutley fantastic.,1,pos
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,neg
definitely will come back here again.,1,pos
I like Steiners because it's dark and it feels like a bar.,1,pos
Wow very spicy but delicious.,1,pos
"If you're not familiar, check it out.",1,pos
I'll take my business dinner dollars elsewhere.,0,neg
I'd love to go back.,1,pos
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,pos
Nothing special.,0,neg
Each day of the week they have a different deal and it's all so delicious!,1,pos
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,pos
Will not be back.,0,neg
Sauce was tasteless.,0,neg
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,pos
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,pos
I don't think we'll be going back anytime soon.,0,neg
Food was so gooodd.,1,pos
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,neg
I was so insulted.,0,neg
The last 3 times I had lunch here has been bad.,0,neg
The chicken wings contained the driest chicken meat I have ever eaten.,0,neg
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,pos
Nargile - I think you are great.,1,pos
Best tater tots in the southwest.,1,pos
We loved the place.,1,pos
Definitely not worth the $3 I paid.,0,neg
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,pos
Im in AZ all the time and now have my new spot.,1,pos
The manager was the worst.,0,neg
The inside is really quite nice and very clean.,1,pos
The food was outstanding and the prices were very reasonable.,1,pos
I don't think I'll be running back to Carly's anytime soon for food.,0,neg
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,neg
"Love the margaritas, too!",1,pos
This was my first and only Vegas buffet and it did not disappoint.,1,pos
"Very good, though!",1,pos
The one down note is the ventilation could use some upgrading.,0,neg
Great pork sandwich.,1,pos
Don't waste your time here.,0,neg
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,neg
"Third, the cheese on my friend's burger was cold.",0,neg
We enjoy their pizza and brunch.,1,pos
The steaks are all well trimmed and also perfectly cooked.,1,pos
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,pos
I LOVED it!,1,pos
We asked for the bill to leave without eating and they didn't bring that either.,0,neg
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,pos
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,neg
The selection of food was not the best.,0,neg
Delicious and I will absolutely be back!,1,pos
"This isn't a small family restaurant, this is a fine dining establishment.",1,pos
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,pos
I dont think I will be back for a very long time.,0,neg
"It was attached to a gas station, and that is rarely a good sign.",0,neg
How awesome is that.,1,pos
I will be back many times soon.,1,pos
The menu had so much good stuff on it i could not decide!,1,pos
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,neg
CONCLUSION: Very filling meals.,1,pos
Their daily specials are always a hit with my group.,1,pos
And then tragedy struck.,0,neg
The pancake was also really good and pretty large at that.,1,pos
"This was my first crawfish experience, and it was delicious!",1,pos
Their monster chicken fried steak and eggs is my all time favorite.,1,pos
Waitress was sweet and funny.,1,pos
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,pos
"I'd rather eat airline food, seriously.",0,neg
Cant say enough good things about this place.,1,pos
The ambiance was incredible.,1,pos
The waitress and manager are so friendly.,1,pos
I would not recommend this place.,0,neg
Overall I wasn't very impressed with Noca.,0,neg
My gyro was basically lettuce only.,0,neg
Terrible service!,0,neg
Thoroughly disappointed!,0,neg
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,pos
"Give it a try, you will be happy you did.",1,pos
By far the BEST cheesecurds we have ever had!,1,pos
Reasonably priced also!,1,pos
Everything was perfect the night we were in.,1,pos
The food is very good for your typical bar food.,1,pos
it was a drive to get there.,0,neg
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,pos
"Anyway, I do not think i will go back there.",0,neg
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,pos
"Oh this is such a thing of beauty, this restaurant.",1,pos
If you haven't gone here GO NOW!,1,pos
"A greasy, unhealthy meal.",0,neg
first time there and might just be the last.,0,neg
Those burgers were amazing.,1,pos
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,neg
And it was way to expensive.,0,neg
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,pos
This was my first time and I can't wait until the next.,1,pos
The bartender was also nice.,1,pos
Everything was good and tasty!,1,pos
This place is two thumbs up....way up.,1,pos
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,pos
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,pos
Terrible management.,0,neg
An excellent new restaurant by an experienced Frenchman.,1,pos
If there were zero stars I would give it zero stars.,0,neg
"Great steak, great sides, great wine, amazing desserts.",1,pos
Worst martini ever!,0,neg
